"","SINCERE_MAX2","STRATEGIC_MAX2","cm16","n","sincere_strategic","percent","df","efficacy"
"1",0,0,NA,32,1,0.0258899676375405,"naes00_national_d",NA
"2",0,1,NA,233,3,0.188511326860841,"naes00_national_d",NA
"3",1,0,NA,208,2,0.168284789644013,"naes00_national_d",NA
"4",1,1,NA,763,4,0.617313915857605,"naes00_national_d",NA
