"","SINCERE_MAX2","STRATEGIC_MAX2","MB03_c","n","sincere_strategic","percent","df","efficacy"
"1",0,0,NA,239,1,0.0591877166914314,"naes08_phone_d",NA
"2",0,1,NA,370,3,0.0916295195641407,"naes08_phone_d",NA
"3",1,0,NA,780,2,0.193164933135215,"naes08_phone_d",NA
"4",1,1,NA,2649,4,0.656017830609212,"naes08_phone_d",NA
