Candidate,Type,Percent
Hart,Instrumental,7.02
Hart,Expressive,17.54
Hart,Ideal,75.44
Jackson,Expressive,50.00
Jackson,Ideal,50.00
Mondale,Irrational,15.38
Mondale,Instrumental,23.08
Mondale,Ideal,61.54
