Candidate,Type,Percent
Clinton,Irrational,3.06
Clinton,Instrumental,9.25
Clinton,Expressive,8.00
Clinton,Ideal,79.69
Edwards,Irrational,13.86
Edwards,Instrumental,6.42
Edwards,Expressive,47.63
Edwards,Ideal,32.09
Obama,Irrational,5.15
Obama,Instrumental,10.49
Obama,Expressive,17.91
Obama,Ideal,66.44
