Candidate,Type,Percent
Bush,Irrational,3.33
Bush,Instrumental,20.00
Bush,Expressive,4.00
Bush,Ideal,72.67
Dole,Irrational,7.96
Dole,Instrumental,9.73
Dole,Expressive,22.12
Dole,Ideal,60.18
Kemp,Irrational,32.00
Kemp,Instrumental,4.00
Kemp,Expressive,56.00
Kemp,Ideal,8.00
Robertson,Irrational,7.41
Robertson,Expressive,55.56
Robertson,Ideal,37.04
,,
,,
,,
,,
,,
,,
