Candidate,Type,Percent
Bradley,Irrational,4.06
Bradley,Instrumental,4.06
Bradley,Expressive,38.58
Bradley,Ideal,53.30
Gore,Irrational,1.90
Gore,Instrumental,25.77
Gore,Expressive,6.65
Gore,Ideal,65.68
,,
,,
