Candidate,Type,Percent
Edwards,Irrational,4.41
Edwards,Instrumental,9.31
Edwards,Expressive,46.08
Edwards,Ideal,40.2
Kerry,Irrational,2.14
Kerry,Instrumental,17.29
Kerry,Expressive,8.56
Kerry,Ideal,72.01
