Candidate,Type,Percent
Dukakis,Irrational,4.55
Dukakis,Instrumental,27.27
Dukakis,Expressive,4.55
Dukakis,Ideal,63.64
Gephardt,Irrational,6.90
Gephardt,Instrumental,13.79
Gephardt,Expressive,13.79
Gephardt,Ideal,65.52
Gore,Irrational,17.78
Gore,Instrumental,11.11
Gore,Expressive,24.44
Gore,Ideal,46.67
Hart,Irrational,7.69
Hart,Expressive,46.15
Hart,Ideal,46.15
Jackson,Irrational,8.33
Jackson,Instrumental,2.78
Jackson,Expressive,72.22
Jackson,Ideal,16.67
