year,value,word
1802,0,electability
1803,0,electability
1804,0,electability
1805,0,electability
1806,0,electability
1807,0,electability
1808,0,electability
1809,0,electability
1810,0,electability
1811,0,electability
1812,0,electability
1813,0,electability
1814,0,electability
1815,0,electability
1816,0,electability
1817,0,electability
1818,0,electability
1819,0,electability
1820,0,electability
1821,0,electability
1822,0,electability
1823,0,electability
1824,0,electability
1825,0,electability
1826,0,electability
1827,0,electability
1828,0,electability
1829,0,electability
1830,0,electability
1831,0,electability
1832,0,electability
1833,0,electability
1834,0,electability
1835,0,electability
1836,0,electability
1837,0,electability
1838,0,electability
1839,5.73E-11,electability
1840,5.73E-11,electability
1841,5.73E-11,electability
1842,5.73E-11,electability
1843,5.73E-11,electability
1844,5.73E-11,electability
1845,5.73E-11,electability
1846,5.73E-11,electability
1847,5.73E-11,electability
1848,5.73E-11,electability
1849,5.73E-11,electability
1850,5.73E-11,electability
1851,5.73E-11,electability
1852,5.73E-11,electability
1853,5.73E-11,electability
1854,5.73E-11,electability
1855,5.73E-11,electability
1856,5.73E-11,electability
1857,5.73E-11,electability
1858,5.73E-11,electability
1859,5.73E-11,electability
1860,0,electability
1861,0,electability
1862,0,electability
1863,0,electability
1864,0,electability
1865,0,electability
1866,0,electability
1867,2.95E-11,electability
1868,2.95E-11,electability
1869,2.95E-11,electability
1870,2.95E-11,electability
1871,2.95E-11,electability
1872,2.95E-11,electability
1873,2.95E-11,electability
1874,2.95E-11,electability
1875,2.95E-11,electability
1876,2.95E-11,electability
1877,2.95E-11,electability
1878,2.95E-11,electability
1879,2.95E-11,electability
1880,4.54E-11,electability
1881,4.54E-11,electability
1882,4.54E-11,electability
1883,4.54E-11,electability
1884,4.54E-11,electability
1885,4.54E-11,electability
1886,4.54E-11,electability
1887,4.54E-11,electability
1888,1.58E-11,electability
1889,1.58E-11,electability
1890,1.58E-11,electability
1891,1.58E-11,electability
1892,1.58E-11,electability
1893,2.57E-11,electability
1894,2.57E-11,electability
1895,2.57E-11,electability
1896,3.45E-11,electability
1897,3.45E-11,electability
1898,3.45E-11,electability
1899,3.45E-11,electability
1900,3.45E-11,electability
1901,1.87E-11,electability
1902,1.87E-11,electability
1903,1.87E-11,electability
1904,1.87E-11,electability
1905,1.87E-11,electability
1906,3.77E-11,electability
1907,3.77E-11,electability
1908,3.77E-11,electability
1909,3.77E-11,electability
1910,3.77E-11,electability
1911,5.14E-11,electability
1912,5.14E-11,electability
1913,9.66E-11,electability
1914,8.67E-11,electability
1915,8.67E-11,electability
1916,8.67E-11,electability
1917,1.02E-10,electability
1918,1.36E-10,electability
1919,1.36E-10,electability
1920,1.36E-10,electability
1921,1.93E-10,electability
1922,1.93E-10,electability
1923,1.93E-10,electability
1924,1.93E-10,electability
1925,1.93E-10,electability
1926,1.93E-10,electability
1927,1.74E-10,electability
1928,1.95E-10,electability
1929,1.95E-10,electability
1930,2.05E-10,electability
1931,2.05E-10,electability
1932,2.34E-10,electability
1933,2.46E-10,electability
1934,2.01E-10,electability
1935,2.01E-10,electability
1936,2.01E-10,electability
1937,2.01E-10,electability
1938,2.03E-10,electability
1939,1.85E-10,electability
